timestamp,price,signal,shares,cash,equity,position,trade_type,trade_pnl
349,21326.11,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
350,21352.02,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
351,21260.66,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
352,21186.64,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
353,21283.6,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
354,21401.73,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
355,21381.85,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
356,21143.78,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
357,21038.07,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
358,21048.72,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
359,21090.55,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
360,21131.3,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
361,21171.32,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
362,21246.58,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
363,21182.6,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
364,21267.6,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
365,21363.22,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
366,21489.8,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
367,21454.57,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
368,21437.18,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
369,21304.55,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
370,21235.84,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
371,20737.81,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
372,20820.51,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
373,20754.73,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
374,20759.66,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
375,20726.78,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
376,20821.05,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
377,20855.37,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
378,20913.56,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
379,20803.24,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
380,20814.42,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
381,20742.56,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
382,20770.5,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
